model,key,weight,seed,split,mae,rmse,r2,pearson_r,dice_ed,dice_es,mean_dice,mean_hd95
EF only,ef_only,N/A,42,Validation,5.794139899082065,7.833770834912591,0.5947018954558585,0.7736760861608344,,,,
EF only,ef_only,N/A,42,Test,6.027429032848921,8.195094876288652,0.5508898638680043,0.7464674591207615,,,,
EF only,ef_only,N/A,2026,Validation,5.725080962506881,7.714411799092706,0.6069584325069624,0.7818288852637567,,,,
EF only,ef_only,N/A,2026,Test,6.152981045851513,8.26419679417993,0.543284042386943,0.7429311153776007,,,,
EF only,ef_only,N/A,3407,Validation,5.646339974788405,7.759487886139,0.6023518502225048,0.7790351957648588,,,,
EF only,ef_only,N/A,3407,Test,6.031189013424338,8.206080685544316,0.5496849613365169,0.7462084004151178,,,,
Segmentation only,segmentation_only,N/A,42,Validation,,,,,0.9343364348776818,0.9090828942598688,0.9217096645687752,2.7577304651252006
Segmentation only,segmentation_only,N/A,42,Test,,,,,0.9334067463090961,0.908436204149948,0.9209214752295221,2.748576215345068
Segmentation only,segmentation_only,N/A,2026,Validation,,,,,0.933398552095974,0.907432100111526,0.92041532610375,2.83523110313707
Segmentation only,segmentation_only,N/A,2026,Test,,,,,0.9333286888570738,0.9079926389146532,0.9206606638858634,2.8040771388281636
Segmentation only,segmentation_only,N/A,3407,Validation,,,,,0.9330053719661877,0.9079018121544858,0.9204535920603367,2.8301139686925465
Segmentation only,segmentation_only,N/A,3407,Test,,,,,0.9331131001955165,0.9080653373107549,0.9205892187531357,2.7880033632722148
Multi-task,multitask_W2,W2,42,Validation,5.387484295768027,7.327341292671934,0.645410649401428,0.8047391276128701,0.9330288725189749,0.9082810935964658,0.9206549830577204,2.891796924139566
Multi-task,multitask_W2,W2,42,Test,5.546760310199941,7.59132338573599,0.6146282543867037,0.7846691917870432,0.9323558876398217,0.9084555495030715,0.9204057185714466,2.8073169712016117
Multi-task,multitask_W2,W2,2026,Validation,5.452640961416019,7.711093366362012,0.6072965014384546,0.7797160504509206,0.9300596345411225,0.9042173636682836,0.9171384991047031,2.9716353006406946
Multi-task,multitask_W2,W2,2026,Test,5.767785596249619,7.9238846344945655,0.5801238821598802,0.7646464022233203,0.9305426560161021,0.9053849662754119,0.917963811145757,2.8736711888471667
Multi-task,multitask_W2,W2,3407,Validation,5.378928279284365,7.45630948444133,0.6328185787174845,0.8015785750793336,0.9327120899644306,0.9076517009326354,0.920181895448533,2.8268141605500263
Multi-task,multitask_W2,W2,3407,Test,5.660634675369741,7.850391602798827,0.5878763592255699,0.7764941174807359,0.9315821349409954,0.9079987454219662,0.9197904401814808,2.8105008650232346
