model,model_key,weight,seed,split,mae,rmse,r2,pearson_r,dice_ed,dice_es,mean_dice,mean_hd95
EF only,ef_only,N/A,42,Validation,8.968645721488858,11.552430366952647,0.11858676780378763,0.4532207215503201,,,,
EF only,ef_only,N/A,42,Test,8.946248764528375,11.591126567956538,0.1015453121093175,0.4492797821940719,,,,
EF only,ef_only,N/A,2026,Validation,8.912878451880461,11.454957263603355,0.13339778717940154,0.45779435322219125,,,,
EF only,ef_only,N/A,2026,Test,9.117041366601065,11.979395829000289,0.04034592117163893,0.3953823471083787,,,,
EF only,ef_only,N/A,3407,Validation,8.954865040246004,11.539727063026076,0.12052414438385362,0.45171618046907624,,,,
EF only,ef_only,N/A,3407,Test,9.258466659294774,12.043566633238724,0.030037101854545334,0.40724686291951545,,,,
Segmentation only,segmentation_only,N/A,42,Validation,,,,,0.02987026875149583,0.013939358308503612,0.02190481352999972,128.00408235573713
Segmentation only,segmentation_only,N/A,42,Test,,,,,0.030466594790949993,0.014966253664951357,0.022716424227950675,128.32319639105128
Segmentation only,segmentation_only,N/A,2026,Validation,,,,,0.11267261006857567,0.0375302419695126,0.07510142601904413,121.7441281758802
Segmentation only,segmentation_only,N/A,2026,Test,,,,,0.1162467570337086,0.04137266487420059,0.07880971095395459,119.65889035296644
Segmentation only,segmentation_only,N/A,3407,Validation,,,,,0.005074986926705852,0.00454035902766186,0.004807672977183855,152.16491384691926
Segmentation only,segmentation_only,N/A,3407,Test,,,,,0.006517432879738969,0.00225727246763883,0.0043873526736888996,152.37909171701995
Multi-task,multitask_W2,W2,42,Validation,5.387484295768027,7.327341292671934,0.645410649401428,0.8047391276128701,0.9330288725189749,0.9082810935964658,0.9206549830577204,2.891796924139566
Multi-task,multitask_W2,W2,42,Test,5.546760310199941,7.59132338573599,0.6146282543867037,0.7846691917870432,0.9323558876398217,0.9084555495030715,0.9204057185714466,2.8073169712016117
Multi-task,multitask_W2,W2,2026,Validation,5.452640961416019,7.711093366362012,0.6072965014384546,0.7797160504509206,0.9300596345411225,0.9042173636682836,0.9171384991047031,2.9716353006406946
Multi-task,multitask_W2,W2,2026,Test,5.767785596249619,7.9238846344945655,0.5801238821598802,0.7646464022233203,0.9305426560161021,0.9053849662754119,0.917963811145757,2.8736711888471667
Multi-task,multitask_W2,W2,3407,Validation,5.378928279284365,7.45630948444133,0.6328185787174845,0.8015785750793336,0.9327120899644306,0.9076517009326354,0.920181895448533,2.8268141605500263
Multi-task,multitask_W2,W2,3407,Test,5.660634675369741,7.850391602798827,0.5878763592255699,0.7764941174807359,0.9315821349409954,0.9079987454219662,0.9197904401814808,2.8105008650232346
